age, income, credit_score, loan_amount, loan_term, employment_years, debt_to_income     , existing_loans, savings_balance, will_default, suggested_interest_rate
 25, 70304 ,          462,       36286,        60,                0, 0.619003603703886  ,              4,            2977,            1,     24.93445556375116
 29, 45175 ,          737,       81325,        24,               17, 0.7208161995847285 ,              4,            2006,            1,     12.242772309784158
 51, 60977 ,          642,       99450,        36,                6, 0.25598747866935445,              3,              27,            1,     21.04880867909574
 50, 94384 ,          666,       77427,        48,                0, 0.7921278737893847 ,              0,            6693,            1,     23.906539162162815
 65, 55036 ,          764,       92513,        24,                2, 0.2073753957688449 ,              1,           26397,            1,     18.96782414916274
 40, 31662 ,          498,       69014,        24,                0, 0.5204822243017082 ,              2,            3305,            1,     24.850620103459406
 41, 43285 ,          799,       80852,        24,                7, 0.560023553691435  ,              0,             443,            1,     21.20431851652218
 54, 34211 ,          315,       60256,        48,                0, 0.39326702668610247,              2,            9687,            1,     17.58384182447104
 52, 58669 ,          595,       63630,        24,                9, 0.4325263961392706 ,              3,             578,            1,     18.699905911005324
 61, 33878 ,          810,       96190,        36,               14, 0.7236370677054962 ,              1,            7070,            1,     23.407104301528186
 57, 40542 ,          538,       67771,        60,                5, 0.5516919607658234 ,              0,            4805,            1,     24.448585477564002
 39, 24311 ,          600,       56715,        36,                1, 0.4479006707642804 ,              3,            6451,            1,     19.226521541163013
 44, 47358 ,          305,       12466,        60,                2, 0.1898446937034673 ,              0,            1775,            1,     15.992953192623276
 52, 53535 ,          519,       22637,        60,                3, 0.10513633765619425,              4,             945,            1,     15.111226320814954
 18, -3695 ,          752,       73745,        24,                4, 0.18747803270628344,              1,           13822,            0,     11.76655980070309
 52, 55191 ,          732,       41317,        24,                5, 0.7693291972335538 ,              1,            2819,            1,     15.852401366504912
 54, 49085 ,          685,       54766,        48,                4, 0.6348607480939316 ,              3,           16115,            1,     17.470877408441556
 64, 34700 ,          594,        8078,        12,                2, 0.7769814292571735 ,              3,           14206,            1,     22.848068465851412
 31, 90572 ,          417,       32299,        36,               11, 0.12499609679572031,              3,            2211,            1,     18.13583861643432
 20, 69169 ,          704,        8543,        48,                0, 0.5761542827010475 ,              1,           23891,            1,     20.331425570729966
 18, 28071 ,          311,       99627,        48,                3, 0.1310054684823926 ,              4,            1758,            1,     13.171388901445685
 22, 66764 ,          508,       56052,        36,                7, 0.6474395282081763 ,              1,           15952,            1,     21.90765398612084
 43, 74889 ,          464,       99483,        36,                0, 0.366665120914636  ,              3,            5456,            1,     18.277755154097896
 31, 52640 ,          593,       27064,        60,                6, 0.1670357520745464 ,              2,            2021,            1,     16.692252993606026
 56, 57228 ,          818,       77287,        12,                8, 0.4976326492512607 ,              4,           27824,            1,     19.942862569554045
 44, 56766 ,          377,       85442,        24,                5, 0.2960841376209717 ,              1,           33038,            1,     13.325815303462722
 26, 8283  ,          733,       88632,        12,                0, 0.561701759310273  ,              2,            7161,            1,     17.38198248155309
 32, 46262 ,          376,       19425,        12,                0, 0.5607223316596532 ,              4,            6333,            1,     22.542641603248864
 32, 45221 ,          347,       56481,        24,                2, 0.593505231884527  ,              1,           23110,            1,     15.406832684335496
 43, 78603 ,          381,       82347,        12,                1, 0.7947255551444313 ,              3,            9066,            1,     23.883249769238017
 59, 56674 ,          508,       88114,        48,               16, 0.3706883969631838 ,              1,            3092,            1,     19.847366792848682
 30, 44047 ,          744,       77317,        48,                5, 0.4257208321395707 ,              4,            5537,            1,     19.030187460135103
 68, 48197 ,          821,       91826,        24,                1, 0.6632281907177386 ,              3,           18078,            1,     17.194423009294724
 49, 70467 ,          328,       55530,        24,               13, 0.5048590161153198 ,              0,           19629,            1,     21.645992782515634
 56, 46308 ,          603,       86099,        36,                6, 0.12608004748145976,              2,           28010,            1,     19.33807958650262
 66, 36036 ,          764,       30888,        36,                1, 0.6901549641818996 ,              3,            3400,            1,     22.35504959033551
 69, 44485 ,          801,       32491,        12,                2, 0.1360490773566287 ,              3,           11392,            1,     16.311825936661535
 49, 68813 ,          745,       37352,        12,                1, 0.219574095544249  ,              4,             708,            1,     21.126187453590198
 21, 59923 ,          789,       26676,        24,               17, 0.17145597688193104,              4,           12942,            1,     24.264754750785787
 47, 50885 ,          727,       70836,        12,                3, 0.15454899301678415,              2,            8282,            1,     15.638944364517418
 54, 53830 ,          658,       42463,        60,               11, 0.11797941271329715,              4,            2873,            1,     24.75302179271884
 40, 38805 ,          390,       53990,        48,                2, 0.1385193997806572 ,              3,           10631,            1,     17.336854295951355
 56, 46121 ,          352,       91544,        12,                9, 0.40970743242516705,              2,            1452,            1,     12.500920520129382
 62, 36733 ,          503,       68627,        12,                0, 0.27699658898782975,              2,            4061,            1,     16.650115500295414
 32, 44104 ,          455,       25221,        36,               20, 0.18857581839317314,              1,            5123,            1,     13.945350168352139
 60, 76923 ,          301,       99870,        60,               12, 0.5610938799085683 ,              3,           15011,            1,     15.955709865796038
 46, 28442 ,          656,       90837,        12,                2, 0.258278337443981  ,              3,            3693,            1,     13.247605025425404
 53, 36225 ,          357,       77843,        48,                7, 0.11326440874136662,              4,             502,            1,     14.316646871586276
 30, 24914 ,          553,       56313,        12,                6, 0.3928938486371294 ,              3,            1993,            1,     13.647086405156259
 49, 20581 ,          479,       34251,        24,               11, 0.31730309438481363,              4,            9367,            1,     12.565191795407943
 24, 46264 ,          792,       51586,        60,                1, 0.3230231019425449 ,              3,             153,            1,     15.850422846211904
 68, 37647 ,          334,       79418,        12,                3, 0.41168901972709304,              1,           15713,            1,     24.23248031960054
 39, 85233 ,          374,       58884,        60,               10, 0.5682397490639944 ,              3,           23138,            1,     24.342112528928354
 45, 44343 ,          588,       57620,        12,                7, 0.5315353840265958 ,              1,            6839,            1,     23.00640445420057
 19, 75787 ,          670,       15040,        48,                2, 0.7560831268522129 ,              3,           12297,            1,     12.15782679200902
 59, 69360 ,          628,       76677,        48,                9, 0.46240166641176506,              3,            6211,            1,     12.36560510243291
 62, 45820 ,          603,       50878,        60,                0, 0.43079893680755055,              0,            3692,            1,     12.134646607820677
 23, 92202 ,          520,       10969,        36,                7, 0.2493901046518279 ,              3,            1801,            1,     16.766321111579877
 45, 55370 ,          463,       18162,        36,                1, 0.6287669021937098 ,              1,            7301,            1,     24.74335349933257
 45, 80260 ,          779,       70435,        24,                1, 0.19854304334999934,              2,           26576,            1,     23.658891593155538
 61, 77931 ,          754,       79667,        36,                3, 0.44379302287433886,              1,           22070,            1,     15.256955781484393
 61, 58292 ,          674,       10037,        60,                2, 0.3949255388712112 ,              3,           25210,            1,     17.332533256166037
 37, 65022 ,          519,       65526,        36,                3, 0.5608106148830823 ,              4,           33936,            1,     22.717568733124846
 47, 62481 ,          553,       92914,        24,                3, 0.7423350289696612 ,              0,            1807,            1,     21.861585654324394
 28, 27114 ,          487,       19693,        12,                2, 0.7626169140487558 ,              4,            1584,            1,     13.724034477554067
 45, 51145 ,          490,       97162,        36,                0, 0.21745948701421092,              0,            5581,            1,     13.401099368885797
 42, 71484 ,          688,       64090,        60,                7, 0.2832720527870247 ,              0,           11689,            1,     19.068366869367402
 56, 80523 ,          514,        7451,        60,                2, 0.6681447239752947 ,              4,            5792,            1,     13.327453640238318
 50, 35587 ,          674,       70560,        24,                3, 0.462795833714435  ,              3,           22289,            1,     22.725242742769353
 18, 60576 ,          385,       10962,        24,                5, 0.41712419784901233,              1,           12637,            1,     15.29324566624014
 44, 53017 ,          773,       94552,        48,               12, 0.5974378166664941 ,              4,           10050,            1,     14.448286861699442
 69, 47642 ,          830,       21444,        48,                6, 0.5213474668248803 ,              2,             736,            1,     14.413729327546195
 30, 57120 ,          346,       45443,        48,                0, 0.7794998380949343 ,              0,            1927,            1,     12.58800982891504
 58, 54359 ,          364,       21506,        12,                9, 0.5087822566017869 ,              1,            5588,            1,     20.343852655461582
 20, 60828 ,          774,       43384,        60,               22, 0.4261816784430773 ,              2,           37454,            1,     14.138448364504663
 56, 78834 ,          445,       29248,        48,                3, 0.479972153454723  ,              1,            4070,            1,     15.033393710454307
 23, 65682 ,          681,       51162,        60,               17, 0.6659778716878814 ,              3,            9941,            1,     21.76697847443976
 25, 56211 ,          365,       47690,        24,                3, 0.5288725397496546 ,              2,           45013,            1,     12.747256320365405
 44, 87292 ,          816,       74625,        12,                3, 0.5529336639707024 ,              4,            3065,            1,     14.63568646473437
 26, 72198 ,          392,       73008,        24,                2, 0.7800072160256144 ,              1,            1823,            1,     13.94153076396416
 54, 48152 ,          725,       65309,        60,                5, 0.5328768390978201 ,              4,            7903,            1,     12.063037171724227
 50, 25657 ,          767,       48237,        48,                1, 0.36619967383417784,              4,            8027,            1,     19.011447930639363
 68, 30243 ,          393,       40732,        24,                0, 0.5839282189089576 ,              1,           25495,            1,     14.470441985615022
 59, 68664 ,          432,       13104,        36,                0, 0.561621577884118  ,              1,             267,            1,     20.22778454921412
 61, 37393 ,          733,       88230,        12,                1, 0.10969334485446734,              0,            5231,            1,     18.523134338028377
 41, 29838 ,          640,       95266,        60,                2, 0.4271305077500832 ,              0,            3744,            1,     20.68241468574837
 32, 34838 ,          613,       39980,        48,                4, 0.6200325220176796 ,              2,            8464,            1,     24.760336410805618
 49, 36252 ,          511,       79990,        24,                1, 0.4493290204047903 ,              2,              93,            1,     14.858362658178338
 49, 67012 ,          819,       44560,        12,               20, 0.6457347951547726 ,              2,           12415,            1,     20.656402884038528
 41, 46865 ,          458,       14554,        48,                1, 0.4156185874993301 ,              0,            6635,            1,     22.836941340782825
 58, 22552 ,          567,       96049,        24,                2, 0.788325118346065  ,              4,           12062,            1,     24.446020962441082
 69, 50620 ,          773,       50987,        60,                0, 0.3050241124427221 ,              3,            5938,            1,     20.090346367761335
 66, 54445 ,          709,       35985,        36,                1, 0.16448582570225148,              3,            6428,            1,     13.70084227310081
 66, 40413 ,          773,       95298,        36,                0, 0.4010082608078681 ,              1,           22590,            1,     12.700022776828844
 69, 73117 ,          655,       53167,        60,                4, 0.4791963174117434 ,              0,            2368,            1,     15.620670806018108
 29, 41581 ,          492,       45428,        12,                6, 0.3443656121777231 ,              1,            2452,            1,     24.06604493135394
 56, 72166 ,          570,       72238,        60,                1, 0.2695968120825713 ,              3,            8197,            1,     18.98011378068954
 19, 61935 ,          413,       67723,        24,                2, 0.5704410839698424 ,              1,           10794,            1,     19.530972002253158
 20, 68532 ,          822,       22038,        12,                0, 0.36398756989937653,              0,            4380,            1,     19.937832870065535
 66, 28028 ,          354,       27219,        36,                9, 0.5419579703704459 ,              0,            7329,            1,     16.318798252689476
 54, 51966 ,          364,        9271,        24,                7, 0.6453500140191432 ,              0,            2585,            1,     14.360681520156131
 66, 48943 ,          571,       32397,        48,                0, 0.6327018394320166 ,              3,            1460,            1,     24.40514201111531
 34, 21559 ,          801,       79491,        48,                2, 0.3627165174449839 ,              0,            2721,            1,     21.820005949296505
 66, 72101 ,          661,       34602,        48,               15, 0.4975287602651224 ,              2,           24813,            1,     18.643651589626252
 19, 33651 ,          445,       59471,        36,                2, 0.41476075710991966,              2,           16185,            1,     16.89716720534769
 19, 37808 ,          508,       67150,        60,                3, 0.7095636768967623 ,              0,            1511,            1,     18.276039584666048
 45, 29733 ,          585,       49227,        12,                2, 0.7151309358599995 ,              2,             476,            1,     12.437647554514072
 40, 64023 ,          309,       28116,        36,                4, 0.34061910802162576,              0,             978,            1,     15.21741559184654
 54, 19481 ,          485,       11674,        24,               19, 0.1642162135151115 ,              3,            3473,            1,     15.259178075155486
 49, 62357 ,          763,       22469,        24,               29, 0.21730773832681366,              2,           16679,            1,     17.789515420304213
 50, 70890 ,          433,       10446,        48,                7, 0.3569012194916187 ,              3,            3876,            1,     15.071499724332334
 18, 60743 ,          470,       25760,        12,                2, 0.4949749683340935 ,              2,            2053,            1,     14.410943055093782
 36, 64252 ,          512,        6963,        48,                3, 0.5597509076751005 ,              4,            5039,            1,     21.951860846728813
 19, 65190 ,          829,       81002,        24,                2, 0.33195973240020016,              4,            1324,            1,     23.615570401354635
 61, 31011 ,          801,       32262,        24,               21, 0.5672493837367901 ,              3,            6352,            1,     12.872819474082664
 43, 78694 ,          326,       10177,        60,                6, 0.7564179885716292 ,              2,           11256,            1,     14.725499621350787
 49, 40798 ,          367,       16160,        60,                2, 0.5564098890182654 ,              4,            4602,            1,     22.057928472013366
 23, 48672 ,          707,       12543,        60,                0, 0.2109956606110459 ,              0,            1906,            1,     22.60585226526564
 49, 43347 ,          408,       87162,        48,                3, 0.5057682390843393 ,              1,            6036,            1,     18.502081327080703
 21, 59830 ,          373,       44278,        12,               20, 0.479326861736888  ,              4,           14375,            1,     21.033476491935346
 28, 39239 ,          561,       34607,        60,                3, 0.7094900776288945 ,              4,             796,            1,     13.00880399086931
 34, 51338 ,          667,       90835,        36,                1, 0.34521213864908207,              0,             735,            1,     23.043873483346403
 55, 25293 ,          536,       22221,        60,                0, 0.396061927039676  ,              4,            3828,            1,     22.825473833445805
 41, 73293 ,          665,        8323,        48,                2, 0.5190613388405456 ,              4,            5362,            1,     21.014226611867187
 22, 63414 ,          585,       57105,        12,               12, 0.4670977182194178 ,              4,            2439,            1,     23.912250655633834
 69, 44154 ,          677,       81151,        60,               28, 0.603311614683622  ,              2,             272,            1,     12.61924542483464
 51, 40617 ,          675,       71968,        12,               14, 0.1282722936387471 ,              4,            2478,            1,     15.002525558861496
 23, 62892 ,          375,       28238,        36,                6, 0.4944612134448719 ,              1,            5715,            1,     16.713089693734943
 39, 35854 ,          308,       68830,        24,                4, 0.1851703251027127 ,              2,             827,            1,     14.061655363074086
 28, 52507 ,          495,       78967,        12,                4, 0.32064629476380496,              2,           12584,            1,     22.59275959754322
 65, 73227 ,          589,       13330,        60,                3, 0.5631388030726733 ,              3,            8031,            1,     21.843511899230556
 33, 33774 ,          360,       49153,        48,                6, 0.2101899404145244 ,              4,            5699,            1,     22.052281648035958
 50, 57372 ,          688,       13611,        48,                2, 0.3161892848532402 ,              1,            7312,            1,     15.786815145206056
 26, 56314 ,          307,       18872,        48,                5, 0.5921045379847184 ,              1,           10665,            1,     21.91492201789543
 23, 48053 ,          668,       54455,        48,                0, 0.5555636697687838 ,              3,           52588,            1,     13.599746125425952
 33, 39924 ,          344,       39930,        12,                1, 0.16372776844681663,              1,           14921,            1,     13.388406302565695
 46, 74295 ,          643,       77022,        48,                9, 0.5040879454446268 ,              2,            7773,            1,     19.59274576903605
 20, 38048 ,          674,       67714,        24,               11, 0.20307812334304765,              0,           14719,            1,     12.632692563903397
 37, 13759 ,          326,       93794,        36,                3, 0.2765899651001449 ,              2,            6447,            1,     24.20245771689712
 53, 62810 ,          492,       53716,        12,                0, 0.4214478950450451 ,              0,            3723,            1,     16.27500327198109
 36, 25973 ,          656,       71704,        12,               13, 0.17654277630873239,              1,            3037,            1,     18.2014238907645
